dataset,measure,result
connected,BCC,0.6152519658
connected,BoundaryConnectivity,0.4965034965
connected,EmbeddingControversy,0.9436062365
connected,MBLB,0.6542857142857144
connected,Modularity,0.4998328039
connected,RWC,0.996871724
connected,RWC,0.9897004849532377
complete,BCC,0.0003238725845
complete,BoundaryConnectivity,0
complete,EmbeddingControversy,0.005009534981
complete,MBLB,0.05544064386
complete,MBLB,0.01837824399708948
complete,Modularity,-0.0008347152662
complete,RWC,-0.02238389393
complete,RWC,-0.0613562059853745
Karate,BCC,0.3729828646
Karate,BoundaryConnectivity,0.1882891414
Karate,EmbeddingControversy,0.4652194886
Karate,MBLB,0.7770308123
Karate,Modularity,0.3717948718
Karate,RWC,0.1763670671
karate_easley_groundtruth,BCC,0.3725037215
karate_easley_groundtruth,BoundaryConnectivity,0.1882891414
karate_easley_groundtruth,EmbeddingControversy,0.527432257
karate_easley_groundtruth,MBLB,0.7770308123
karate_easley_groundtruth,Modularity,0.358234714
karate_easley_groundtruth,RWC,0.1790137559
polblogs,BCC,0.6406988717
polblogs,BoundaryConnectivity,0.1701694916
polblogs,EmbeddingControversy,0.6406361843
polblogs,EmbeddingControversy,0.015439755979634207
polblogs,MBLB,0.33282216862735864
polblogs,Modularity,0.4223763442
polblogs,RWC,0.3460498311756893
polblogs_cc,BCC,0.6371743732
polblogs_cc,BoundaryConnectivity,0.1701694916
polblogs_cc,EmbeddingControversy,0.6356985108
polblogs_cc,MBLB,0.4552996416
polblogs_cc,Modularity,0.4223763442
polblogs_cc,RWC,0.3074285965
Facebook_Friends,BCC,0.7734873553967734
Facebook_Friends,BoundaryConnectivity,0.10685660114030922
Facebook_Friends,EmbeddingControversy,0.4297749942268827
Facebook_Friends,MBLB,0.207987012987013
Facebook_Friends,Modularity,0.3327028770560748
Facebook_Friends,RWC,0.21413101887284036
Facebook_Friends_cc,BCC,0.7853630592
Facebook_Friends_cc,BCC,0.7613186561923283
Facebook_Friends_cc,BCC,0.7784557763917074
Facebook_Friends_cc,BoundaryConnectivity,0.1464711826
Facebook_Friends_cc,EmbeddingControversy,0.4855818678
Facebook_Friends_cc,MBLB,0.19830141255956935
Facebook_Friends_cc,Modularity,0.3436300131
Facebook_Friends_cc,RWC,0.17596071594439378
Cruzeiro_Atletico_Twitter_cc,BCC,0.8001321905
Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.1068004688
Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.2994164005
Cruzeiro_Atletico_Twitter_cc,MBLB,0.4062649953
Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362
Cruzeiro_Atletico_Twitter_cc,RWC,0.330408309
gun_control_Twitter,BCC,0.8483894835552089
gun_control_Twitter,BoundaryConnectivity,0.24926353632426287
gun_control_Twitter,EmbeddingControversy,0.6502814880958732
gun_control_Twitter,MBLB,0.5730405989958149
gun_control_Twitter,Modularity,0.47766693281162204
gun_control_Twitter,RWC,0.6662679686552475
gun_control_Twitter_cc,BCC,0.8524610038
gun_control_Twitter_cc,BoundaryConnectivity,0.2469101198
gun_control_Twitter_cc,EmbeddingControversy,0.660680497
gun_control_Twitter_cc,MBLB,0.5844167274
gun_control_Twitter_cc,Modularity,0.4774197673
gun_control_Twitter_cc,RWC,0.6581083918
NY_Teams_Twitter,BCC,0.7589788670113348
NY_Teams_Twitter,BoundaryConnectivity,0.10819723511378132
NY_Teams_Twitter,EmbeddingControversy,0.07020193571235589
NY_Teams_Twitter,MBLB,0.4050231693
NY_Teams_Twitter,MBLB,0.28113374522282353
NY_Teams_Twitter,Modularity,0.3937797987
NY_Teams_Twitter,RWC,0.225893697
NY_Teams_Twitter,RWC,0.37733071174450983
NY_Teams_Twitter_cc,BCC,0.7945877984
NY_Teams_Twitter_cc,BoundaryConnectivity,0.1045194368
NY_Teams_Twitter_cc,EmbeddingControversy,0.01167137301
NY_Teams_Twitter_cc,MBLB,0.4050231693
NY_Teams_Twitter_cc,Modularity,0.3937797987
NY_Teams_Twitter_cc,RWC,0.225893697
Cruzeiro_Atletico_Twitter,BCC,0.829650312
Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.1104970182
Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.1359713254
Cruzeiro_Atletico_Twitter,MBLB,0.3751677029
Cruzeiro_Atletico_Twitter,Modularity,0.418509904
Cruzeiro_Atletico_Twitter,RWC,0.3738091538